hotel,price,score,avg review,reviews count,ciudad,check_in,check_out
Hermoso apartmento con La mejor vista el peñol guatape,COP 127.500,"Puntuación: 9,3
9,3",Fantástico,69,Guatape,2024-11-14,2024-11-15
Tau House,COP 992.260,"Puntuación: 9,3
9,3",Fantástico,340,Guatape,2024-11-14,2024-11-15
1714 Hotel Boutique Guatapé,COP 246.340,"Puntuación: 9,3
9,3",Fantástico,157,Guatape,2024-11-14,2024-11-15
El Trebol,COP 350.000,"Puntuación: 9,5
9,5",Excepcional,260,Guatape,2024-11-14,2024-11-15
Porto Marina Hotel,COP 320.440,"Puntuación: 9,0
9,0",Fantástico,531,Guatape,2024-11-14,2024-11-15
La Pausa Hotelbistro,COP 546.980,"Puntuación: 9,6
9,6",Excepcional,328,Guatape,2024-11-14,2024-11-15
Hotel Casa Linda Guatape,COP 159.140,"Puntuación: 8,8
8,8",Fabuloso,294,Guatape,2024-11-14,2024-11-15
Oak Tree house,COP 81.000,"Puntuación: 8,9
8,9",Fabuloso,1.501,Guatape,2024-11-14,2024-11-15
La Finca De Frida,COP 570.000,,,,Guatape,2024-11-14,2024-11-15
BLISS Glamping,COP 960.000,"Puntuación: 10
10",Excepcional,1,Guatape,2024-11-14,2024-11-15
Hotel Las Vegas,COP 79.000,"Puntuación: 7,9
7,9",Bien,1.102,Guatape,2024-11-14,2024-11-15
The Boato Hotel,COP 473.320,"Puntuación: 9,0
9,0",Fantástico,1.095,Guatape,2024-11-14,2024-11-15
BubbleSky Glamping Guatapé,COP 403.000,"Puntuación: 9,1
9,1",Fantástico,403,Guatape,2024-11-14,2024-11-15
Hotel Guatatur,COP 116.080,"Puntuación: 8,0
8,0",Muy bien,733,Guatape,2024-11-14,2024-11-15
Casa García Rent Home,COP 117.000,"Puntuación: 9,0
9,0",Fantástico,264,Guatape,2024-11-14,2024-11-15
Hotel Verony Guatape,COP 198.760,"Puntuación: 8,2
8,2",Muy bien,1.388,Guatape,2024-11-14,2024-11-15
Hotel Portal Guatapé,COP 72.240,"Puntuación: 8,6
8,6",Fabuloso,49,Guatape,2024-11-14,2024-11-15
"The Brown, Guatape",COP 663.040,"Puntuación: 8,8
8,8",Fabuloso,225,Guatape,2024-11-14,2024-11-15
Sotavento Cabañas,COP 621.000,"Puntuación: 9,2
9,2",Fantástico,179,Guatape,2024-11-14,2024-11-15
Luxé Cabañas,COP 517.440,"Puntuación: 8,5
8,5",Muy bien,1.110,Guatape,2024-11-14,2024-11-15
Jordan Hotel Boutique,COP 279.080,"Puntuación: 9,5
9,5",Excepcional,389,Guatape,2024-11-14,2024-11-15
Rooca Guatape,COP 315.000,"Puntuación: 9,1
9,1",Fantástico,9,Guatape,2024-11-14,2024-11-15
Viajero Guatapé Hostel & Lake Club,COP 237.600,"Puntuación: 9,6
9,6",Excepcional,123,Guatape,2024-11-14,2024-11-15
Hotel Bahia del Faro,COP 179.000,"Puntuación: 8,6
8,6",Fabuloso,1.164,Guatape,2024-11-14,2024-11-15
La Juana,COP 585.000,,,,Guatape,2024-11-14,2024-11-15
Hospedaje 3 Esquinas,COP 60.000,"Puntuación: 8,3
8,3",Muy bien,471,Guatape,2024-11-14,2024-11-15
Hermoso apartmento con La mejor vista el peñol guatape,COP 127.500,"Puntuación: 9,3
9,3",Fantástico,69,Guatape,2024-11-15,2024-11-16
Tau House,COP 992.260,"Puntuación: 9,3
9,3",Fantástico,340,Guatape,2024-11-15,2024-11-16
Oak Tree house,COP 80.920,"Puntuación: 8,9
8,9",Fabuloso,1.501,Guatape,2024-11-15,2024-11-16
Hotel Casa Linda Guatape,COP 159.140,"Puntuación: 8,8
8,8",Fabuloso,294,Guatape,2024-11-15,2024-11-16
Hotel Verony Guatape,COP 198.760,"Puntuación: 8,2
8,2",Muy bien,1.388,Guatape,2024-11-15,2024-11-16
Hotel Las Vegas,COP 86.000,"Puntuación: 7,9
7,9",Bien,1.102,Guatape,2024-11-15,2024-11-16
Luxé Cabañas,COP 517.440,"Puntuación: 8,5
8,5",Muy bien,1.110,Guatape,2024-11-15,2024-11-16
Hotel Portal Guatapé,COP 72.240,"Puntuación: 8,6
8,6",Fabuloso,49,Guatape,2024-11-15,2024-11-16
The Boato Hotel,COP 594.020,"Puntuación: 9,0
9,0",Fantástico,1.095,Guatape,2024-11-15,2024-11-16
Viajero Guatapé Hostel & Lake Club,COP 257.400,"Puntuación: 9,6
9,6",Excepcional,123,Guatape,2024-11-15,2024-11-16
Loma Rent Home Guatape,COP 158.400,"Puntuación: 9,2
9,2",Fantástico,76,Guatape,2024-11-15,2024-11-16
El Trebol,COP 350.000,"Puntuación: 9,5
9,5",Excepcional,260,Guatape,2024-11-15,2024-11-16
Hospedaje 3 Esquinas,COP 60.000,"Puntuación: 8,3
8,3",Muy bien,471,Guatape,2024-11-15,2024-11-16
1714 Hotel Boutique Guatapé,COP 246.340,"Puntuación: 9,3
9,3",Fantástico,157,Guatape,2024-11-15,2024-11-16
Casa García Rent Home,COP 136.500,"Puntuación: 9,0
9,0",Fantástico,264,Guatape,2024-11-15,2024-11-16
Hotel Guatatur,COP 171.080,"Puntuación: 8,0
8,0",Muy bien,733,Guatape,2024-11-15,2024-11-16
Hotel Lagos de Guatape,COP 70.000,"Puntuación: 8,9
8,9",Fabuloso,347,Guatape,2024-11-15,2024-11-16
La Pausa Hotelbistro,COP 596.700,"Puntuación: 9,6
9,6",Excepcional,328,Guatape,2024-11-15,2024-11-16
Hotel Bahia del Faro,COP 179.000,"Puntuación: 8,6
8,6",Fabuloso,1.164,Guatape,2024-11-15,2024-11-16
